Sample Type,File Name,Comment,Path,Filepath,Method,Process Method,Position,Inj Vol
Process_Blank,Blank_20230807_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_001.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,2
Process_Blank,Blank_20230807_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_002.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A1,2
Process_Blank,Blank_20230807_003,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_003.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,2
Process_Blank,Blank_20230807_004,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_004.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A1,2
Solvent_Blank,Sol_blank_20230807_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Sol_blank_20230807_001.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A6,2
Solvent_Blank,Sol_blank_20230807_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Sol_blank_20230807_002.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A6,2
Standards_Blank,Blank_std_20230807_1_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_std_20230807_1_001.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A2,2
Standards_Blank,Blank_std_20230807_1_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_std_20230807_1_002.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A2,2
QC,MT_20230807_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_001.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20230807_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_002.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A3,2
QC,MT_20230807_003,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_003.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20230807_004,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_004.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A3,2
QC,MT_20230807_005,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_005.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20230807_006,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_006.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A3,2
NIST,MT_20230807_007,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_007.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A5,2
NIST,MT_20230807_008,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_008.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A5,2
Pooled,MT_20230807_009,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_009.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,2
Pooled,MT_20230807_010,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_010.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A4,2
Unknown,MT_20230807_011,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_011.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B1,2
Unknown,MT_20230807_012,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICnegƒ_RPpos/MT_20230807_012.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B1,2
Unknown,MT_20230807_013,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_013.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B2,2
Unknown,MT_20230807_014,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_014.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B2,2
Unknown,MT_20230807_015,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_015.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B3,2
Unknown,MT_20230807_016,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_016.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B3,2
Unknown,MT_20230807_017,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_017.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B4,2
Unknown,MT_20230807_018,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_018.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B4,2
Unknown,MT_20230807_019,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_019.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B5,2
Unknown,MT_20230807_020,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_020.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B5,2
Unknown,MT_20230807_021,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_021.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B6,2
Unknown,MT_20230807_022,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_022.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B6,2
Unknown,MT_20230807_023,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_023.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B7,2
Unknown,MT_20230807_024,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_024.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B7,2
Unknown,MT_20230807_025,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_025.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B8,2
Unknown,MT_20230807_026,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_026.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B8,2
Unknown,MT_20230807_027,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_027.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B9,2
Unknown,MT_20230807_028,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_028.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B9,2
Unknown,MT_20230807_029,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_029.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C1,2
Unknown,MT_20230807_030,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_030.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C1,2
Pooled,MT_20230807_031,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_031.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,2
Pooled,MT_20230807_032,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_032.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A4,2
Unknown,MT_20230807_033,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_033.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C2,2
Unknown,MT_20230807_034,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_034.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C2,2
Unknown,MT_20230807_035,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_035.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C3,2
Unknown,MT_20230807_036,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_036.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C3,2
Unknown,MT_20230807_037,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_037.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C4,2
