Filepath,File Name,Sample Type
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M2.mzML,AZ_M2,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M15.mzML,AZ_M15,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M14.mzML,AZ_M14,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M8_2.mzML,AZ_M8_2,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M18.mzML,AZ_M18,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M3.mzML,AZ_M3,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M8.mzML,AZ_M8,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M13_2.mzML,AZ_M13_2,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M13.mzML,AZ_M13,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M4.mzML,AZ_M4,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M5.mzML,AZ_M5,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M12.mzML,AZ_M12,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M9.mzML,AZ_M9,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M11.mzML,AZ_M11,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M6.mzML,AZ_M6,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M7.mzML,AZ_M7,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M10.mzML,AZ_M10,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M17.mzML,AZ_M17,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/blank_media_end.mzML,blank_media_end,Blank
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M16.mzML,AZ_M16,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/AZ_M1.mzML,AZ_M1,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellMedia/blank_media_start.mzML,blank_media_start,Blank