Biological Replicate,Concentration,Spike In,ID
1,10,Before,Bio_1_Concentration_10_Analytical_1_SpikeIn_Before
2,10,Before,Bio_2_Concentration_10_Analytical_1_SpikeIn_Before
3,10,Before,Bio_3_Concentration_10_Analytical_1_SpikeIn_Before
1,100,Before,Bio_1_Concentration_100_Analytical_1_SpikeIn_Before
2,100,Before,Bio_2_Concentration_100_Analytical_1_SpikeIn_Before
3,100,Before,Bio_3_Concentration_100_Analytical_1_SpikeIn_Before
1,10,Before,Bio_1_Concentration_10_Analytical_2_SpikeIn_Before
2,10,Before,Bio_2_Concentration_10_Analytical_2_SpikeIn_Before
3,10,Before,Bio_3_Concentration_10_Analytical_2_SpikeIn_Before
1,100,Before,Bio_1_Concentration_100_Analytical_2_SpikeIn_Before
2,100,Before,Bio_2_Concentration_100_Analytical_2_SpikeIn_Before
3,100,Before,Bio_3_Concentration_100_Analytical_2_SpikeIn_Before
1,10,Before,Bio_1_Concentration_10_Analytical_3_SpikeIn_Before
2,10,Before,Bio_2_Concentration_10_Analytical_3_SpikeIn_Before
3,10,Before,Bio_3_Concentration_10_Analytical_3_SpikeIn_Before
1,100,Before,Bio_1_Concentration_100_Analytical_3_SpikeIn_Before
2,100,Before,Bio_2_Concentration_100_Analytical_3_SpikeIn_Before
3,100,Before,Bio_3_Concentration_100_Analytical_3_SpikeIn_Before
1,10,After,Bio_1_Concentration_10_Analytical_1_SpikeIn_After
2,10,After,Bio_2_Concentration_10_Analytical_1_SpikeIn_After
3,10,After,Bio_3_Concentration_10_Analytical_1_SpikeIn_After
1,100,After,Bio_1_Concentration_100_Analytical_1_SpikeIn_After
2,100,After,Bio_2_Concentration_100_Analytical_1_SpikeIn_After
3,100,After,Bio_3_Concentration_100_Analytical_1_SpikeIn_After
1,10,After,Bio_1_Concentration_10_Analytical_2_SpikeIn_After
2,10,After,Bio_2_Concentration_10_Analytical_2_SpikeIn_After
3,10,After,Bio_3_Concentration_10_Analytical_2_SpikeIn_After
1,100,After,Bio_1_Concentration_100_Analytical_2_SpikeIn_After
2,100,After,Bio_2_Concentration_100_Analytical_2_SpikeIn_After
3,100,After,Bio_3_Concentration_100_Analytical_2_SpikeIn_After
1,10,After,Bio_1_Concentration_10_Analytical_3_SpikeIn_After
2,10,After,Bio_2_Concentration_10_Analytical_3_SpikeIn_After
3,10,After,Bio_3_Concentration_10_Analytical_3_SpikeIn_After
1,100,After,Bio_1_Concentration_100_Analytical_3_SpikeIn_After
2,100,After,Bio_2_Concentration_100_Analytical_3_SpikeIn_After
3,100,After,Bio_3_Concentration_100_Analytical_3_SpikeIn_After